id	signatuur	aantal_teksten	datering
TDRA000000007733	BRUSSEL, KB : II 668	1	1525
TDRA000000012458	Olim ARENBERG : 69	1	1400/1450
TDRA000000005118	KEULEN, HA : GB Oct. 2	1	
TDRA000000010273	GENT, UB : 1357	6	1562
TDRA000000004561	OXFORD, KC : 13	1	14??
TDRA000000009045	LES ENLUMINURES (Parijs) : Cat. 4, nr. 5	1	1450
TDRA000000012465	ORANGE, SMA : s.o.	1	1500
TDRA000000010266	DARMSTADT, HLHB : 1742	4	1533
TDRA000000006362	NIJMEGEN, JBB : 5000 A 30	1	
TDRA000000004575	STUTTGART, WLB : Brev. 18	11	14??
TDRA000000015478	Olim UDEN, BMR : Olim 15	1	
TDRA000000016159	Olim NIJHOFF ('s-Gravenhage) : Cat. 1855, nr. 3	1	
TDRA000000009079	Olim SOTHEBY'S (Londen) : Cat. 1995-06-20, nr. 81	1	1525/1550
TDRA000000001343	LEIDEN, UB : LTK 314	6	1450/1500
TDRA000000013753	BRUSSEL, KB : 4948	1	14??
TDRA000000003540	'S-GRAVENHAGE, KB : 133 E 2	1	1530
TDRA000000007040	BERLIJN, SKB : Gris. 4. K1	1	
TDRA000000009086	BRUSSEL, KB : IV 1270	6	1460
TDRA000000009938	SOUTHAMPTON, THM : 603.1985	1	1475/1500
TDRA000000005858	AMSTERDAM, BPH : ICN 6	1	1475
TDRA000000001380	LEIDEN, UB : LTK 354	23	1500/1550
TDRA000000002845	PARIJS, BN : Néerl. 60	2	15??
TDRA000000015108	LEUVEN, SMKM : 4-5	1	15??
TDRA000000010070	NEW HAVEN, YUBL : 287	1	1475/1500
TDRA000000000505	UTRECHT, MCC : BMH 107	13	1500/1525
TDRA000000008159	GENT, SA : Reeks 160, nr.6	3	1453/17??
TDRA000000014564	LUIK, UB : Wittert 29	1	15??
TDRA000000010064	BOSTON, UL : Endowment Collection Leaf 52-55	1	1430/1440
TDRA000000004011	BRUSSEL, KB : II 277	31	1510
TDRA000000007242	FLORENCE, BN : 320	1	
TDRA000000001155	UTRECHT, UB : Cat. 1030	14	1490
TDRA000000008617	LONDEN, BL : Add. 27948	1	1400/1415
TDRA000000003971	BRUSSEL, KB : 21665	22	1560
TDRA000000015691	SALLOCH (New York) : Cat. 375, nr. 14	1	1450/1500
TDRA000000004950	UTRECHT, MCC : ABM 14	1	
TDRA000000007281	Olim WIEDER (Noordwijk) : z.s.	30	1570
TDRA000000006766	BOEDAPEST, OSK : Holl. 396	1	
TDRA000000009455	WASHINGTON, LC : 49	1	1400/1450
TDRA000000016213	MONTREAL, MU : 100	1	14??
TDRA000000006000	CUNEN (Oss) : 2 (BNM)	8	1460
TDRA000000000471	UTRECHT, MCC : BMH 51	8	1465/1470
TDRA000000004617	KOPENHAGEN, KB : Thott 132 Oct.	2	1478
TDRA000000014410	Olim KARL und FABER (München) : Cat. 83/1963 nr. 9	1	1546
TDRA000000010676	LUIK, UB : 660 A	1	15??
TDRA000000000465	UTRECHT, MCC : BMH 47	7	1450/1500
TDRA000000000303	GENT, UB : 2750	11	1475
TDRA000000002514	SINT-PETERSBURG, BSS : Goll. O.v.I, 4	14	1490/1500
TDRA000000014376	ROSEMAN (Cleveland Heights) : 6	1	14??
TDRA000000010138	Olim SOTHEBY'S (Londen) : Cat. 1987-12-01, nr. 52	1	1400/1425
TDRA000000005253	UTRECHT, MCC : Warmond 92 A 16	2	1450/1500
TDRA000000006028	BRYN MAWR, BMC : z.s.	69	1475/1500
TDRA000000003150	'S-GRAVENHAGE, KB : 135 E 4	1	
TDRA000000005521	STRAATSBURG, BNU : 5525	1	
TDRA000000015054	DARMSTADT, HLHB : 1838	1	1607
TDRA000000002528	Olim MOSKOU, AMID : 1269	1	1450/1460
TDRA000000004159	BRUSSEL, KB : II 5220	29	1510
TDRA000000003805	BRUSSEL, KB : 10763-64	18	15??
TDRA000000004818	DARMSTADT, HLHB : 1874	6	1450
TDRA000000003811	BRUSSEL, KB : 10896	1	15??
TDRA000000005290	WOLFENBÜTTEL, HAB : 81.1 Aug. Oct.	1	14??
TDRA000000003839	BRUSSEL, KB : 11795	13	14??
TDRA000000006799	MÜNCHEN, BSB : Cgm 23240	1	
TDRA000000001790	BRUSSEL, KB : IV 512	9	1525
TDRA000000004830	DARMSTADT, HLHB : 1965	1	1480/1510
TDRA000000004824	DARMSTADT, HLHB : 1958	1	1460
TDRA000000015929	DUBLIN, CBL : W. 98	1	14??
TDRA000000008978	TALLAHASSEE, SU : Special collections Strozier Library z.s.	1	
TDRA000000016011	LEHMAN (New York) : A.13	1	1500
TDRA000000004373	LONDEN, BL : Add. 15267	5	1450/1475
TDRA000000002702	'S-GRAVENHAGE, KB : 71 J 71	1	1450/1500
TDRA000000005079	KEULEN, HA : GB Oct. 11	1	1582
TDRA000000012505	OXFORD, BL : Astor A 24	1	1500/1545
TDRA000000000897	LEIDEN, UB : LTK 264	7	1455
TDRA000000004429	LONDEN, BL : Add. 38724	1	1425/1475
TDRA000000003346	'S-GRAVENHAGE, KB : 133 D 8	1	
TDRA000000003420	'S-GRAVENHAGE, KB : 133 F 15	1	1450/1500
TDRA000000005051	KEULEN, HA : W 68	1	
TDRA000000006558	BRUGGE, GS : 72/175	47	1400/1415
TDRA000000001223	TILBURG, TF : Haaren 5	1	1673
TDRA000000011030	BALTIMORE, WAG : W. 282	1	1440/1450
TDRA000000007652	AMSTERDAM, UB : V J 6	1	1500/1550
TDRA000000013627	BRUSSEL, KB : 10767	1	14??
TDRA000000005045	KEULEN, HA : W 63	1	
TDRA000000005723	KAAPSTAD, NLSA : Grey 3 b 17	1	14??
TDRA000000003352	'S-GRAVENHAGE, KB : 130 E 22	1	1556/1557
TDRA000000011756	Olim DE GHELLINCK (Elsegem) : z.nr.	1	14??
TDRA000000014809	Olim SOTHEBY'S (Londen) : Cat. 1937-03-05, nr.838	1	1450/1500
TDRA000000013196	PHILADELPHIA, UP : Schoenberg s.o.	1	1430/1450
TDRA000000003385	'S-GRAVENHAGE, KB : 131 H 13	1	1500
TDRA000000013828	TRIER, SB : 788/1372 Oct.	6	14??
TDRA000000005086	KEULEN, HA : GB Oct. 44	1	
TDRA000000013182	EMDEN, GK : Fol. 3	6	1475
TDRA000000014835	Olim CHRISTIE'S (Londen) : Cat. 1972-06-28, nr. 39	1	1425/1475
TDRA000000007871	BRUSSEL, KB : IV 1013	1	1280/1290
TDRA000000014831	Olim CHRISTIE'S (Londen) : Cat. 1972-06-28, nr. 7	1	1498
TDRA000000003395	'S-GRAVENHAGE, KB : 133 F 2	13	1526/1527
TDRA000000002935	BERLIJN, SBB-PK : Germ. Qu. 557	68	1450/1500
TDRA000000007681	AMSTERDAM, UB : XXI C 4	1	14??
TDRA000000011785	CHICAGO, NL : 46	1	1450
TDRA000000005928	LEEUWARDEN, FM : Stamnr. 2453	9	1470/1490
TDRA000000003381	'S-GRAVENHAGE, KB : 133 F 10	1	1500
TDRA000000016001	Olim BISHOP (New York) : 25	1	14??
TDRA000000010470	EDINBURGH, NLS : Nat. Galleries 7139	1	15??
TDRA000000016015	LEHMAN (New York) : A.5b-c	1	1510
TDRA000000004411	LONDEN, BL : Add. 29985	14	1510
TDRA000000014602	BERN, BB : A 84	1	1500/1525
TDRA000000011752	SINT-TRUIDEN, IFG : A 32	1	1450/1500
TDRA000000001541	'S-GRAVENHAGE, KB : KA 27	9	1400/1450
TDRA000000003356	'S-GRAVENHAGE, KB : 133 D 4	1	1450/1500
TDRA000000005041	KEULEN, HA : W Duod. 59	1	
TDRA000000008565	LONDEN, BL : Add. 17280	1	1475/1500
TDRA000000011034	BALTIMORE, WAG : W. 181	1	1460/1470
TDRA000000003342	'S-GRAVENHAGE, KB : 129 F 4	1	1475/1525
TDRA000000006979	NIJMEGEN, UB : 456	1	1475/1500
TDRA000000003829	BRUSSEL, KB : 11231-36	41	1520/1530
TDRA000000006789	LIVERPOOL, UL : F.2.2	1	1475/1525
TDRA000000011593	LUIK, UB : 1097	1	13??
TDRA000000002289	AMSTERDAM, UB : I G 17	1	
