id	signatuur	aantal_teksten	datering
TDRA000000013492	Olim DENIE (Antwerpen) : Cat. 1951 nr. 155	1	14??
TDRA000000005596	Olim AMSTERDAM, MA : z.n.	17	1491
TDRA000000004307	CAMBRIDGE, FM : 2-1969	1	
TDRA000000005019	KEULEN, HA : W* 25	35	1487
TDRA000000015578	LONDEN, BL : Egerton 3044	1	1325/1375
TDRA000000004475	OXFORD, BL : Rawlinson Liturg. g 4	1	1489
TDRA000000004313	CAMBRIDGE, FM : McClean 96	1	14??
TDRA000000014128	Olim TE WINKEL (Amsterdam) : 2	1	15??
TDRA000000015236	Olim VAN DE VELDE (Leuven) : 15087	1	1574
TDRA000000011050	BALTIMORE, WAG : W. 434	1	1500
TDRA000000007632	AMSTERDAM, UB : I E 77	1	1475/1525
TDRA000000008267	CHARLEROI, SAP : s.o.	3	
TDRA000000003326	'S-GRAVENHAGE, KB : 74 H 8	1	1425/1475
TDRA000000011044	BALTIMORE, WAG : W. 229	1	1470
TDRA000000005031	KEULEN, HA : W 51	1	
TDRA000000013860	Olim TRAU (Wenen) : Cat. 1905 nr. 54	1	1500/1525
TDRA000000011911	Olim SOTHEBY'S (Londen) : Cat. 1992-12-07, nr.10	1	1440
TDRA000000005970	DEVENTER, SAB : 2000 D 19 KL	11	1430/1450
TDRA000000007801	STRATTON, DA : 26529	1	1400/1425
TDRA000000013874	BERLIJN, SBB-PK : Germ. Oct. 451	3	1450/1500
TDRA000000005958	LONDEN, VAM : Reid 32	1	1440
TDRA000000007197	NEW YORK, PML : 421	1	
TDRA000000007195	CHICAGO, NL : 35	1	1455
TDRA000000004488	LONDEN, BL : Arundel 294	5	1450/1500
TDRA000000005966	PURMEREND, WA : MONNICKENDAM 155	21	1486
TDRA000000007817	BRUSSEL, KB : IV 441	1	1475/1500
TDRA000000007803	STRATTON, DA : 26532	1	1500/1525
TDRA000000005972	Olim TE WINKEL (Amsterdam) : z.s.	9	1480
TDRA000000003330	'S-GRAVENHAGE, KB : 76 G 16	1	1490
TDRA000000005999	HARBURG, FBK : Maihingen I 4 Oct. 1	7	1480
TDRA000000005741	LUIK, UB : Wittert 33	7	1500/1520
TDRA000000011052	BALTIMORE, WAG : W. 423	1	1500/1510
TDRA000000002748	'S-HEERENBERG, HB : 9	1	1480
TDRA000000015220	HOUSTON, PL : 6	1	1500
TDRA000000003324	'S-GRAVENHAGE, KB : 131 G 5	8	1450/1475
TDRA000000005755	LEUVEN, TF : Mechelen 16	1	1465
TDRA000000010416	'S-GRAVENHAGE, KB : z.s.	1	1450/1475
TDRA000000006512	WENEN, ONB : 1800	1	1450
TDRA000000002760	'S-HEERENBERG, HB : 29	1	1460
TDRA000000004311	CAMBRIDGE, FM : McClean 94	2	1465/1470
TDRA000000014102	Olim HIERSEMANN (Leipzig) : Cat. 487 nr. 67	1	1450
TDRA000000003318	'S-GRAVENHAGE, KB : 76 G 26	1	1440/1460
TDRA000000004477	OXFORD, BL : d'Orville 214	1	14??
TDRA000000006937	AMSTERDAM, BPH : 152	1	1410
TDRA000000002589	ANTWERPEN, MPM : M. 14.7	7	1489
TDRA000000003697	BRUSSEL, KB : 3059	3	1549
TDRA000000015793	Olim DE GHELDERE (Couckelare) : 2 (BNM)	1	
TDRA000000010827	OSGOOD GROVER : z.s.	2	1424
TDRA000000010199	LAMPETER, SDUC : 6	1	1475/1500
TDRA000000009392	BALTIMORE, WAG : W. 195	1	1470
TDRA000000008932	WEERT, MRK : 17	1	
TDRA000000009379	BRUSSEL, KB : 11397	1	14??
TDRA000000016259	Olim SOTHEBY'S (Londen) : Cat. 1982-06-22, nr. 77	1	1430/1450
TDRA000000004885	DARMSTADT, HLHB : 2695	20	1525/1550
TDRA000000015750	ANHOLT, FSSB : 27-31	1	
TDRA000000001731	BRUSSEL, KB : IV 261	2	
TDRA000000012995	PARIJS, BA : 858	1	14??
TDRA000000006710	CAMBRIDGE, UL : Add. 6689	1	
TDRA000000005219	Olim NESTLE (Frankfurt) : 5	1	1430/1450
TDRA000000014472	VAN LEEUWEN (Eindhoven) : z.s.	1	1450/1500
TDRA000000016265	AUSTIN, HRHRC : Pre-1700 Manuscripts 3	13	1450/1500
TDRA000000000413	'S-GRAVENHAGE, MM : 10 F 31	3	
TDRA000000016271	BRUSSEL, KB : IV 209 (8)	1	14??
TDRA000000012017	SAN MARINO, HL : HM 1200	1	1425/1475
TDRA000000014300	DARMSTADT, HLHB : 1109	1	1475/1500
TDRA000000013296	FRANKFURT, SUB : Germ. Oct. 47	1	1540/1560
TDRA000000004926	KEULEN, HA : GB Oct. 73	3	1527
TDRA000000005386	MÜNCHEN, BSB : Cgm 849	21	1500/1550
TDRA000000001876	BRUSSEL, KB : IV 1106	12	
TDRA000000015817	PROVIDENCE, BUL : 4	1	1490
TDRA000000003913	BRUSSEL, KB : 18229-30	3	14??
TDRA000000007546	HANNOVER, NLB : s.o.	4	
TDRA000000011324	Olim QUARITCH (Londen) : Cat. 801 nr. 221	1	1475/1500
TDRA000000001651	DEVENTER, SAB : Hs. I, 72 (101 D 14 KL)	2	1453
TDRA000000004729	DARMSTADT, HLHB : 1930	2	1485
TDRA000000009219	BRUGGE, PM : O.P. 3.I	1	1500
TDRA000000011456	SINT-PETERSBURG, BAN : O 94	1	14??
TDRA000000008107	STICHTING DUIVENVOORDE (Oegstgeest) : 1	19	1480
TDRA000000015156	PHILADELPHIA, FL : Lewis European 176	1	1538
TDRA000000009557	AMSTERDAM, BPH : BPH 184	1	1500
TDRA000000008891	MANCHESTER, JRL : Dutch 12	1	1425/1475
TDRA000000004073	BRUSSEL, KB : II 2348	3	1497
TDRA000000004715	DARMSTADT, HLHB : 1872	17	1475
TDRA000000009231	PARIJS, BA : 424	1	1493
TDRA000000010760	BALTIMORE, WAG : W. 173	1	144?
TDRA000000007208	MADRID, BN : Res. 149	1	
TDRA000000000567	ROTTERDAM, GB : 96 E 6	29	1510/1520
TDRA000000012163	CLEVELAND, MA : TR 12.828/28	7	1470/1490
TDRA000000014923	WARBURG (New York) : 2	1	1460
TDRA000000002827	PARIJS, BN : Néerl. 29	1	14??
TDRA000000005184	NIJMEGEN, JBB : 5000 MS 14 BK	8	1440
TDRA000000015397	BRUSSEL, KB : II 167	1	1559
TDRA000000003293	'S-GRAVENHAGE, KB : 133 D 2	1	1480/1500
TDRA000000010589	BALLARAT, AG : Crouch 12	21	1500/1525
TDRA000000013916	Olim VAN DER LINDE : Cat. 1864, nr. 220	1	14??
TDRA000000013902	Olim VAN DER LINDE : Cat. 1864, nr. 200	1	14??
TDRA000000011873	Olim WITTEN (Southport) : Cat. 18, nr. 29	1	1465/1470
TDRA000000005806	DEVENTER, SAB : Hs. I, 114 (101 E 24 KL)	1	1410
TDRA000000013057	PARIJS, BM : 377	1	14??
TDRA000000014738	Olim QUARITCH (Londen) : Cat. 699 nr. 83	1	1500
TDRA000000011898	Olim ABBEY (Londen) : 7395	1	1470/1475
TDRA000000007022	KAMPEN, OLVP : 2	2	1475/1500
TDRA000000001335	LEIDEN, UB : LTK 303	20	1500/1550
TDRA000000009769	CAMBRIDGE, UL : Add. 3016	1	1530
TDRA000000007744	HERENTALS, KLOOSTER : 1	3	1484
TDRA000000005153	UTRECHT, MCC : BMH SJ 161	1	1450/1500
TDRA000000004259	CAMBRIDGE, FM : 6 G 11	1	1500/1510
TDRA000000001447	ANTWERPEN, RG : Neerl. 18	5	1475/15??
TDRA000000010562	MILAAN, BT : 470	1	1470
TDRA000000003278	'S-GRAVENHAGE, KB : 133 D 15	1	1430
TDRA000000010204	LEEDS, UL : Brotherton 9	1	1475/1500
TDRA000000006472	UTRECHT, UB : 3 L 12 (4)	1	1400/1450
TDRA000000009999	PARTICULIERE COLLECTIE : z.s.	1	1468
TDRA000000004265	CAMBRIDGE, FM : 6 G 16	1	1510/1520
TDRA000000002614	'S-GRAVENHAGE, KB : 135 C 11	1	1400/1450
TDRA000000009027	Olim SIX VAN HILLEGOM (Amsterdam) : Cat. 1928 nr. 205	1	1450/1500
TDRA000000006314	LEUVEN, UB : 5	1	1430/1440
TDRA000000002615	'S-GRAVENHAGE, KB : 135 C 12	1	1500/1525
TDRA000000004264	WEERT, GM : CMW 3	1	
TDRA000000014711	PRINCETON, UL : Garrett 58	1	1505
TDRA000000002173	KRAKOW, MN : Czart. 2943	21	1410/1420
TDRA000000006301	Olim LEUVEN, UB : G 218 (verloren)	10	
TDRA000000010205	BURGSTEINFURT, FBS : 6	1	14??
TDRA000000001320	LEIDEN, UB : LTK 288	6	1450/1500
TDRA000000004258	CAMBRIDGE, FM : 6 G 10	1	1460
TDRA000000001446	ANTWERPEN, RG : Neerl. 17	6	1500/1525
TDRA000000014739	Olim QUARITCH (Londen) : Cat. 716 nr. 311	1	14??
TDRA000000005634	MAASTRICHT, RHCL : 22.001 hss. GAM 462	11	1515
TDRA000000007976	VAN DER LANDE (Diepenveen) : z.s.	11	
TDRA000000013903	Olim VAN DER LINDE : Cat. 1864, nr. 201	1	14??
TDRA000000005807	PARIJS, BM : 500	1	1440
TDRA000000011872	Olim TENNER (Heidelberg) : Cat. 143 nr. 8	1	1425/1475
TDRA000000013917	Olim VAN DER LINDE : Cat. 1864, nr. 225	1	14??
TDRA000000002832	PARIJS, BN : Néerl. 35	2	14??
TDRA000000014936	BRUSSEL, KB : 5070	1	14??
TDRA000000003292	'S-GRAVENHAGE, KB : 71 G 52	1	1480/1490
TDRA000000003286	'S-GRAVENHAGE, KB : 131 H 40	1	1470
TDRA000000015382	BALTIMORE, WAG : W. 330	1	1510
TDRA000000004700	BALTIMORE, WAG : W. 185	1	1410/1415
TDRA000000000566	ROTTERDAM, GB : 96 E 12	38	1515
TDRA000000007209	DOORNIK, SB : 122	1	
TDRA000000001678	BRUSSEL, KB : IV 31	17	1510
TDRA000000009542	AMSTERDAM, BPH : ICN 164	1	1448
TDRA000000005378	MÜNCHEN, BSB : Cgm 162	7	1475/1500
TDRA000000006665	CHICAGO, NL : 39	1	1460
TDRA000000008648	PARIJS, BN : Nouv. acq. Lat. 3055	1	1407/1419
TDRA000000000214	GENT, UB : 1369	6	1481/1525
TDRA000000010761	BALTIMORE, WAG : W. 246	1	1440/1450
TDRA000000004714	DARMSTADT, HLHB : 1968	17	1470
TDRA000000014507	Olim DEVROE EN STUBBE (Brussel) : nr. 663	1	14??
TDRA000000007235	MADRID, BN : Vit. 25-5	1	
TDRA000000009218	OXFORD, BL : Douce 112	1	1500/1525
TDRA000000008660	ATRECHT, BM : 513	5	1375/1400
TDRA000000013254	Olim ALBERDINGK THIJM (Amsterdam) : Cat. 1890, nr. 1371	1	1450/1500
TDRA000000004728	DARMSTADT, HLHB : 1938	13	1520
TDRA000000003047	BERLIJN, SBB-PK : Germ. Oct. 265	1	
TDRA000000008847	LONDEN, VAM : 600-1889	7	1470/1490
TDRA000000001687	BRUSSEL, KB : IV 142	11	14??
TDRA000000005393	MÜNCHEN, BSB : Cgm 5203	7	1475/1500
TDRA000000004933	KEULEN, HA : W* 23	1	
TDRA000000004674	NEW YORK, PML : M. 1031	1	1450/1475
TDRA000000012016	SAN MARINO, HL : HM 1174	1	1475/1500
TDRA000000004112	BRUSSEL, KB : II 3490	15	1510
TDRA000000005218	FRANKFURT, HM : C 90/164, 760/63	1	
TDRA000000014473	Olim DE VRIES (Amsterdam) : z.s.	1	1525
TDRA000000006739	ROTHSCHILD (Waddesdon Manor) : 9	1	1460
TDRA000000015037	Olim SCHINKEL ('s-Gravenhage) : Cat. 1864, nr. 17	1	14??
TDRA000000005224	'S-GRAVENHAGE, KB : 75 B 58 (3)	1	1508
TDRA000000016258	Olim SOTHEBY'S (Londen) : Cat. 1981-07-14, nr.120	1	1500
TDRA000000001724	BRUSSEL, KB : IV 216	10	1490/1510
TDRA000000009393	OXFORD, BL : Buchanan e.18	1	1450/1475
TDRA000000008933	WEERT, MRK : 21	1	
TDRA000000015976	LUIK, UB : Wittert 25	1	14??
TDRA000000002588	ANTWERPEN, MPM : M. 14.13	7	14??
TDRA000000006936	VANDERMEULEN (Hasselt) : z.s.	4	1500/1550
TDRA000000005581	HAMBURG, SUB : Theol. 2052	1	1513/1535
TDRA000000015792	ANHOLT, FSSB : 40	1	
TDRA000000004310	CAMBRIDGE, FM : McClean 93	1	14??
TDRA000000009634	JASPERS (Aerdenhout) : z.s.	22	1475
TDRA000000004476	OXFORD, BL : d'Orville 213	1	14??
TDRA000000004462	LONDEN, BL : Sloane 1174	55	1539/1549
TDRA000000010417	BRUSSEL, KB : 16910-13	18	1550/1800
TDRA000000015221	BURLINGTON, UV : 8	1	1561
TDRA000000003325	'S-GRAVENHAGE, KB : 131 G 4	5	1460/1470
TDRA000000005740	LUIK, UB : Wittert 32	10	1440
TDRA000000003331	'S-GRAVENHAGE, KB : 76 G 9	1	1490
TDRA000000003457	'S-GRAVENHAGE, KB : 73 G 29	32	1375/1500
TDRA000000015235	LONDEN, BL : Arundel 316	1	14??
TDRA000000002749	'S-HEERENBERG, HB : 10	10	1450/1475
TDRA000000007802	STRATTON, DA : 26530	1	1400/1415
TDRA000000005973	Olim DE BOM (Antwerpen) : 2	28	1525
TDRA000000005967	AMSTERDAM, UB : BH 966	3	1425/1475
TDRA000000004489	OXFORD, BL : Dutch e 1	1	
TDRA000000007194	NEW YORK, PML : M. 25	1	
TDRA000000005963	WEIMAR, HAAB : Oct. 83	1	1440/1450
TDRA000000011916	Olim SOTHEBY'S (Londen) : Cat. 1992-12-07, nr.58	1	1400
TDRA000000009181	Olim ABBEY (Londen) : 7122	1	1252
TDRA000000005793	LISSABON, MCG : LA 148	1	1395/1400
TDRA000000011080	JASPERS (Aerdenhout) : z.s.	25	1440
TDRA000000012562	VAN DER LANDE (Diepenveen) : z.s.	3	1480/1490
TDRA000000007609	BOSTON, UL : Endowment Collection 8	1	1484
TDRA000000006271	Olim LEUVEN, UB : G 93 (verloren)	14	
TDRA000000004466	LONDEN, BL : Sloane 2692	8	1450/1475
TDRA000000014675	'S-GRAVENHAGE, KB : 131 H 8	1	1475/1500
TDRA000000003309	'S-GRAVENHAGE, KB : 133 E 18	1	
TDRA000000002017	LEIDEN, UB : BPL 2895	6	1475/1500
TDRA000000004314	CAMBRIDGE, FM : McClean 97	3	14??
TDRA000000015231	CHICAGO, AI : 23.290	1	14??
TDRA000000002995	BERLIJN, SBB-PK : Germ. Qu. 18	8	1485/1490
TDRA000000003335	'S-GRAVENHAGE, KB : 76 G 13	1	1474/1500
TDRA000000005744	LUIK, UB : Wittert 36	8	1450/1460
TDRA000000006259	Olim LEUVEN, UB : G 70 (verloren)	16	1475/1500
TDRA000000008274	Olim SOTHEBY'S (Londen) : Cat. 1928-05-21, nr.30	1	14??
TDRA000000003321	'S-GRAVENHAGE, KB : 74 G 30	1	1489
TDRA000000002759	'S-HEERENBERG, HB : 26	1	
TDRA000000011043	BALTIMORE, WAG : W. 266	1	1460/1470
TDRA000000009397	OXFORD, BL : Canonici Liturg. 108	1	1470
TDRA000000015796	Olim GETZ (Beverly Hills) : 11	1	14??
TDRA000000006932	AMSTERDAM, UB : V H 7	1	1470/1475
TDRA000000010188	VENETIE, BC : V, 149	1	1400/1450
TDRA000000002598	ANTWERPEN, MPM : M. 14.19	9	1440
TDRA000000013495	Olim DENIE (Antwerpen) : Cat. 1951 nr. 158	1	14??
TDRA000000003686	BRUSSEL, KB : 3026-30	45	1450/1500
TDRA000000006926	AMSTERDAM, BPH : ICN 145	1	1475/1500
TDRA000000010822	PARTICULIERE COLLECTIE (Australië) : Wollstonecraft 151	1	1450/1500
TDRA000000000402	'S-GRAVENHAGE, MM : 10 F 18	4	1470/1480
TDRA000000016260	Olim SOTHEBY'S (Londen) : Cat. 1982-06-22, nr. 84	1	14??
TDRA000000003679	BRUSSEL, KB : 2992-93	26	1450/1500
TDRA000000010163	Olim SOTHEBY'S (Londen) : Cat. 1989-06-19, nr. 3017	1	
TDRA000000012012	SAN MARINO, HL : HM 1149	1	1500/1525
TDRA000000014463	'S-HEERENBERG, HB : 12	1	1450
TDRA000000002229	AMSTERDAM, UB : I E 27	4	1466/1469
TDRA000000012984	MILAAN, BT : 461	1	1475/1500
TDRA000000015033	Olim SIX VAN HILLEGOM (Amsterdam) : Cat. 1928 nr. 216	1	1520
TDRA000000005220	NESTLE (Frankfurt) : 8	1	1460/1470
TDRA000000006729	MÜNCHEN, BSB : Gall. 40	1	
TDRA000000015027	Olim SIX VAN HILLEGOM (Amsterdam) : Cat. 1928 nr. 201	1	14??
TDRA000000012748	KOPENHAGEN, KB : Thott 542 Qu.	1	1500
TDRA000000001734	BRUSSEL, KB : IV 271	9	1488
TDRA000000001873	BRUSSEL, KB : IV 1096	22	1420
TDRA000000008857	Olim FORUM (Utrecht) : Cat. 99, nr. 4	10	1470/1490
TDRA000000004937	Olim UTRECHT, ABM : DEVENTER PK 1 (verloren)	19	1400/1450
TDRA000000001697	BRUSSEL, KB : IV 196	5	15??
TDRA000000005397	MÜNCHEN, BSB : Cgm 5246	16	1475/1500
TDRA000000007594	BIRMINGHAM, PL 091/MED/: 8	1	1492/1503
TDRA000000012199	AMSTERDAM, KRIJTBERG : 4	3	1480
TDRA000000013287	Olim MULLER (Amsterdam) : Cat. 1922-05-24, nr. 6	1	1475/1500
TDRA000000004710	DARMSTADT, HLHB : 230	16	1462
TDRA000000000576	ROTTERDAM, GB : 96 G 5	10	1460
TDRA000000007219	BALTIMORE, WAG : W. 208	1	1470
TDRA000000010765	BALTIMORE, WAG : W. 176	1	1500
TDRA000000008894	MANCHESTER, JRL : Dutch 16	1	
TDRA000000005368	MÜNCHEN, BSB : Cgm 106	7	1425/1475
TDRA000000009220	MODENA, BE : Lat. 39	1	1500/1525
TDRA000000000562	ROTTERDAM, GB : 96 F 1	14	1425/1450
TDRA000000004704	OSNABRÜCK, NSA : Dep 58 d Nr. C XIX	1	1500
TDRA000000012166	RENSSEN (Arnhem) : z.s.	1	1470/1490
TDRA000000010759	BALTIMORE, WAG : W. 719	1	1450
TDRA000000006891	BRUGGE, SB : 333	1	1425/1450
TDRA000000004738	DARMSTADT, HLHB : 1892	1	1470
TDRA000000003057	BERLIJN, SBB-PK : Germ. Oct. 440	8	14??
TDRA000000011453	Olim KUYPER (Haarlem) : Cat. 30; 2/3-6-1999, nr.2925	1	14??
TDRA000000001640	DEVENTER, SAB : Hs. I, 61 (11 L 1 KL)	5	14??
TDRA000000013913	Olim VAN DER LINDE : Cat. 1864, nr. 216	1	14??
TDRA000000011876	Olim CHRISTIE'S (Londen) : Cat. 1984-12-13, nr.135	1	1450
TDRA000000013907	Olim VAN DER LINDE : Cat. 1864, nr. 209	1	14??
TDRA000000007782	CHANTILLY, MC : 1595	1	1500
TDRA000000003296	'S-GRAVENHAGE, KB : 131 G 7	12	1457
TDRA000000002188	SINT-PETERSBURG, BAN : O 255	21	1500/1550
TDRA000000007796	BRUSSEL, KB : IV 301	1	15??
TDRA000000002836	PARIJS, BN : Néerl. 40	32	1550
TDRA000000004274	WEERT, GM : CMW 36	1	1500
TDRA000000009036	STOCKHOLM, NM : B 1646	1	1430
TDRA000000004512	LONDEN, BL : Harley 2943	8	1486
TDRA000000014715	PRINCETON, UL : Garrett 50	1	1470
TDRA000000003269	'S-GRAVENHAGE, KB : 128 G 32	1	1500
TDRA000000004260	WEERT, GM : CMW 33	24	1482
TDRA000000007741	MULHOUSE, SI : Coll. Weiss z.s.	2	1425/1475
TDRA000000005630	HOORN, WA : Boekerij der gemeente I 45 Oct.	10	1422
TDRA000000011889	Olim SOTHEBY'S (Londen) : Cat. 1984-12-11, nr.3	1	1500
TDRA000000005142	AMSTERDAM, UB : XV E 21	10	1470/1480
TDRA000000001443	ANTWERPEN, RG : Neerl. 11	18	1400/1410
TDRA000000011888	Olim SOTHEBY'S (Londen) : Cat. 1984-12-11, nr.2	1	14??
TDRA000000001325	LEIDEN, UB : LTK 293	11	1450
TDRA000000002638	'S-GRAVENHAGE, KB : 135 E 40	9	1455/1460
TDRA000000007740	VAN DER LANDE (Diepenveen) : z.s.	8	1550
TDRA000000001331	LEIDEN, UB : LTK 299	16	1470/1490
TDRA000000015422	LONDEN, RCMS : 6	6	14??
TDRA000000009023	MÜLLER (Calbe a.d. unteren Milde) : z.s.	4	1450/1500
TDRA000000003268	'S-GRAVENHAGE, KB : 133 D 18	1	
TDRA000000014714	WARDER (Baltimore) : 14	1	14??
TDRA000000004261	WEERT, GM : CMW 32	4	1475/1500
TDRA000000010200	AMSTERDAM, UB : VIII D 4	1	1475/1500
TDRA000000015378	GENT, RA : Varia D	1	
TDRA000000004275	WEERT, GM : CMW 6	1	1480/1500
TDRA000000004513	LONDEN, BL : Harley 2954	8	1450/1500
TDRA000000011693	LUIK, UB : 312 A	1	15??
TDRA000000003297	'S-GRAVENHAGE, KB : 133 E 19	1	1480
TDRA000000002837	PARIJS, BN : Néerl. 42	1	14??
TDRA000000007783	CHESTER, CATHEDRAL : 3	1	1425/1475
TDRA000000014927	BRUSSEL, KB : 5849	1	14??
TDRA000000011877	Olim SOTHEBY'S (Londen) : Cat. 1984-07-03, nr.20	1	1475/1500
TDRA000000013906	Olim VAN DER LINDE : Cat. 1864, nr. 206	1	14??
TDRA000000013912	Olim VAN DER LINDE : Cat. 1864, nr. 215	1	14??
TDRA000000011334	Olim BOEKENOOGEN (Amsterdam) : 7	1	1475/1500
TDRA000000008665	PARIJS, BN : Lat. 1364	1	1400
TDRA000000011452	Olim KUYPER (Haarlem) : Cat. 30; 2/3-6-1999, nr.2942	1	1475/1500
TDRA000000004739	DARMSTADT, HLHB : 1852	1	1470
TDRA000000003042	BERLIJN, SBB-PK : Germ. Oct. 352	8	1450/1500
TDRA000000010758	BALTIMORE, WAG : W. 172	1	1450/1460
TDRA000000008117	Olim STERCK (Aerdenhout) : 9	6	1600
TDRA000000004705	Olim OSNABRÜCK, GC : 36 (verloren)	4	
TDRA000000000563	ROTTERDAM, GB : 96 E 7	7	1490
TDRA000000009221	VERONA, BC : V 48	1	1500
TDRA000000010764	BALTIMORE, WAG : W. 272	1	1470/1480
TDRA000000006106	MÜNSTER, UB : 726d	1	
TDRA000000004711	DARMSTADT, HLHB : 1918	18	1458
TDRA000000005369	MÜNCHEN, BSB : Cgm 108	7	14??
TDRA000000009553	AMSTERDAM, BPH : BPH 182	1	1480/1490
TDRA000000000211	GENT, UB : 1360	18	1450/1500
TDRA000000007595	BLACKBURN, MAG : 091.21035	1	1425/1475
TDRA000000001682	BRUSSEL, KB : IV 81	18	14??
TDRA000000001696	BRUSSEL, KB : IV 195	9	1500/1525
TDRA000000005396	MÜNCHEN, BSB : Cgm 5235	14	1375/1400
TDRA000000001872	BRUSSEL, KB : IV 1074	10	
TDRA000000012749	STOCKHOLM, KB : A 228	1	1500/1525
TDRA000000015026	Olim SIX VAN HILLEGOM (Amsterdam) : Cat. 1928 nr. 198	1	1490
TDRA000000008711	LONDEN, VAM : Drawer 5	1	14??
TDRA000000009369	AMSTERDAM, BPH : BPH 82	1	1525/1536
TDRA000000000359	NIJMEGEN, UB : 310	24	1516
TDRA000000000371	NIJMEGEN, UB : 323	33	1553
TDRA000000009433	AMSTERDAM, BPH : ICN 148	1	1430/1460
TDRA000000005209	FRANKFURT, MKH : Linelsammlung LM 42	1	1490/1500
TDRA000000004671	NEW YORK, PML : M. 917	1	1440/1445
TDRA000000012013	SAN MARINO, HL : HM 1157	1	1475/1500
TDRA000000006072	AMSTERDAM, BPH : BPH 57	1	
TDRA000000016261	Olim SOTHEBY'S (Londen) : Cat. 1982-06-22, nr. 83	1	14??
TDRA000000004665	OSNABRÜCK, BA : 4	1	1500
TDRA000000012007	SAN MARINO, HL : HM 1136	1	1450/1500
TDRA000000000365	NIJMEGEN, UB : 316	9	1500
TDRA000000006927	'S-GRAVENHAGE, KB : 130 E 33	1	1450
TDRA000000013494	Olim DENIE (Antwerpen) : Cat. 1951 nr. 157	1	14??
TDRA000000010823	PARTICULIERE COLLECTIE (Australië) : Wollstonecraft 152	1	14??
TDRA000000015797	Olim GETZ (Beverly Hills) : 13	1	14??
TDRA000000005584	HAMBURG, SUB : Theol. 2194	46	1450/1600
TDRA000000010189	VENETIE, BC : V, 16	1	1400/1450
TDRA000000008936	OSCOTT, SMC : 586	1	1500/1525
TDRA000000003320	'S-GRAVENHAGE, KB : 133 D 1	8	1475/1500
TDRA000000008275	HANNOVER, NLB : I 83	1	1450/1500
TDRA000000011042	BALTIMORE, WAG : W. 184	1	1460/1470
TDRA000000002758	'S-HEERENBERG, HB : 25	1	1460/1470
TDRA000000005745	LUIK, UB : Wittert 37	7	14??
TDRA000000003334	'S-GRAVENHAGE, KB : 132 G 37	1	1475/1500
TDRA000000016077	Olim SOTHEBY'S (Londen) : Cat. 1967-12-12, nr.59	1	1425/1475
TDRA000000004473	OXFORD, BL : Rawlinson liturg. f 8	6	1475/1500
TDRA000000004315	CAMBRIDGE, FM : McClean 98	1	15??
TDRA000000014106	Olim HIERSEMANN (Leipzig) : Cat. 487 nr. 86	1	14??
TDRA000000002764	'S-HEERENBERG, HB : 63	1	
TDRA000000000173	GENT, UB : 1017	2	1450/1500
TDRA000000003308	'S-GRAVENHAGE, KB : 133 E 23	1	1425/1475
TDRA000000014674	PHILADELPHIA, RBLC : 10	1	13??
TDRA000000010412	BERGEN, SC : 65	1	1500
TDRA000000016063	'S-GRAVENHAGE, KB : 79 K 5	1	1489
TDRA000000004498	LONDEN, BL : Harley 1662	22	14??
TDRA000000007813	BRUSSEL, KB : IV 419	1	13??/14??
TDRA000000011917	Olim SOTHEBY'S (Londen) : Cat. 1992-12-07, nr.62	1	1425/1475
TDRA000000011915	Olim SOTHEBY'S (Londen) : Cat. 1992-12-07, nr.57	1	1400/1450
TDRA000000007839	EDINBURGH, UL : 312	1	1450/1500
TDRA000000005948	'S-GRAVENHAGE, KB : 77 L 45	1	1410/1415
TDRA000000011929	Olim CHRISTIE'S (Londen) : Cat. 1987-12-02, nr.40	1	1472
TDRA000000013858	Olim TRAU (Wenen) : Cat. 1905 nr. 43	1	1425/1475
TDRA000000010389	PRINCETON, UL : Garrett 57	1	1490/1500
TDRA000000004471	OXFORD, BL : Rawlinson Liturg. f 8*	6	1475/1500
TDRA000000016075	Olim LAMBIN (Ieper) : Cat. 1841, nr. 17	1	1534
TDRA000000006272	Olim LEUVEN, UB : G 94 (verloren)	1	
TDRA000000004465	LONDEN, BL : Sloane 2601	6	14??
TDRA000000015568	INNSBRUCK, UB : s.o.	1	
TDRA000000004303	CAMBRIDGE, FM : 348	1	1442
TDRA000000011040	BALTIMORE, WAG : W. 179	1	1460/1470
TDRA000000003336	'S-GRAVENHAGE, KB : 76 G 10	1	1480/1490
TDRA000000015554	Olim VAN DER FEER LADER (Baarn) : 3 (BNM)	1	1400/1450
TDRA000000008263	LEIDEN, UB : BPL 2557: 3	1	1375/1400
TDRA000000011054	BRUSSEL, KB : 10392	1	1370/1400
TDRA000000015232	CHICAGO, AI : 23.419	1	1470
TDRA000000009394	PARIJS, BN : Nouv. Acq. Fr. 16238	1	1460/1467
TDRA000000008934	OMAHA, CU : Rare Book Room BQT 4278 1301	1	14??
TDRA000000012978	MILAAN, BT : 471	1	
TDRA000000010809	Olim SCHINKEL ('s-Gravenhage) : Cat. 1864, nr. 14	1	1473
TDRA000000009380	EDINBURGH, NLS : Adv. 5 2 12	7	1575
TDRA000000010821	CLAREMONT, HL : Crispin 22	1	1470/1480
TDRA000000015959	WENEN, ONB : 12898	3	1475/1525
TDRA000000013496	Olim DENIE (Antwerpen) : Cat. 1951 nr. 159	1	14??
TDRA000000003685	BRUSSEL, KB : 3014-15	20	14??
TDRA000000006925	AMSTERDAM, BPH : ICN 137	1	1480/1500
