titel	datering	pagina	incipit	titel_norm	taal
TEXT000000023958	Gebed tot de Drievuldigheid		 f.?	"Ic aenbede dy ende glorificier dy ende love di o werde drivoldicheit die daer bist die ewige wysheit ..."			TDRA000000005597
TEXT000000013643	Gebed op naam van Gregorius		 f.020r-020v		Ongespecificeerde Mnl. teksten op naam van Gregorius de Grote		TDRA000000003992
TEXT000000024789	Berijmd gebed tot God		 f.55v-56v	"O vray god sonder beghin ..."			TDRA000000001873
TEXT000000002028	Getijdenboek, met kalender voor het bisdom Doornik; Lat.	1425/1450				latijn	TDRA000000003071
TEXT000000035690	Gebed tot S. Agnes		 f.128r-131r	"God grueti Agnes gods bruet want dyn herte hadde Jhesum ghetrouwet in dinen kindschen daghen..."			TDRA000000007447
TEXT000000032699	Gebed op naam van Augustinus		 f.?	"Die coninclike goetheit moet my beschermen in deser nacht, die keiserlike moegentheit des heiligen geistes moet gebenedien die inwendige crachten myns herten ..."	Ongespecificeerde Mnl. teksten op naam van Augustinus		TDRA000000005597
TEXT000000037939	Gebed tot S. Ontcommer		 f.217r-217v	"O overschoen joncfrou sancta Oncommer blinckende radie in des conincs throne..."			TDRA000000000336
TEXT000000039082	Getijden van de Heilige Geest		 f.073r-085v				TDRA000000005377
TEXT000000016061	Drie gebeden op naam van Johannes Gerson		 f.132v-135v	"Die troestelike doctoer Joannes Gerson cancellier van Parijs raet en ieghelike christen mensche dat hi ten minsten tsavonts eer hi ter rusten gaet hem selven versoene met sijnen heere met sijnen God bisonder als hi in enighe dootsonde ghevallen is. Segghende dese drie ... proposicien ..."	Ongespecificeerde Mnl. teksten op naam van Johannes Gerson		TDRA000000008128
TEXT000000002014	Gebeden; Nederd.					duits	TDRA000000003047
TEXT000000002000	Gebeden; Nederd.					duits	TDRA000000003011
TEXT000000009633	Getijdenboek, met kalender voor het bisdom Utrecht; Mnl.	1484				nederlands	TDRA000000007609
TEXT000000042342	Kalender, gevolgd door getijden van S. Maria		 f.001r-048				TDRA000000004471
