id	signatuur	aut_id	auteur
TDRA000000004090	BRUSSEL, KB : II 2921	LEXI000000003325	Geert Grote
TDRA000000001856	BRUSSEL, KB : IV 937	LEXI000000003325	Geert Grote
TDRA000000008696	LONDEN, ORATORY : 12547	LEXI000000003325	Geert Grote
TDRA000000007406	STRÄNGNÄS, SB : Codex Batavum z.s.	LEXI000000004213	Nicolaas van Straatsburg
TDRA000000005991	SMITH (Karlshamm) : 2	LEXI000000003772	Henricus Suso
TDRA000000016090	ANTWERPEN, MPM : M. 336	LEXI000000023017	Costerius
TDRA000000004484	LONDEN, BL : Add. 11432	LEXI000000003325	Geert Grote
TDRA000000005956	LINKÖPING, SB : T 216	LEXI000000004327	Jan Brugman
TDRA000000011923	CHICAGO, NL : 56.1	LEXI000000005380	Henricus de Hassia
TDRA000000011923	CHICAGO, NL : 56.1	LEXI000000005391	Pierre d'Ailly
TDRA000000008296	HEIDELBERG, UB : Trübner 143	LEXI000000003325	Geert Grote
TDRA000000002036	BOEDAPEST, OSK : Holl. 6	LEXI000000003325	Geert Grote
TDRA000000002022	LEIDEN, UB : BPL 3055	LEXI000000003325	Geert Grote
TDRA000000002744	'S-HEERENBERG, HB : 4	LEXI000000003325	Geert Grote
TDRA000000004651	BREMEN, SUB : C 27	LEXI000000004213	Nicolaas van Straatsburg
TDRA000000001729	BRUSSEL, KB : IV 236	LEXI000000003325	Geert Grote
TDRA000000004094	BRUSSEL, KB : II 2946	LEXI000000003810	Jan van Leeuwen
TDRA000000004094	BRUSSEL, KB : II 2946	LEXI000000006282	Petrus Lupus
TDRA000000006126	MÜNSTER, UB : 779	LEXI000000003325	Geert Grote
TDRA000000002803	LEEUWARDEN, PBF : 690 Hs.	LEXI000000003325	Geert Grote
TDRA000000005163	UTRECHT, MCC : BMH 161	LEXI000000003325	Geert Grote
TDRA000000003063	BERLIJN, SBB-PK : Germ. Oct. 588	LEXI000000003325	Geert Grote
TDRA000000003671	BRUSSEL, KB : 2883	LEXI000000004431	Jan van Brederode
TDRA000000003671	BRUSSEL, KB : 2883	LEXI000000003704	Jan van Ruusbroec
TDRA000000003881	BRUSSEL, KB : 15085	LEXI000000003325	Geert Grote
TDRA000000008081	LEIDEN, UB : LTK 2074	LEXI000000003325	Geert Grote
TDRA000000003842	BRUSSEL, KB : 11798	LEXI000000004213	Nicolaas van Straatsburg
TDRA000000003315	'S-GRAVENHAGE, KB : 133 E 22	LEXI000000003325	Geert Grote
TDRA000000005994	Olim ELLIS (Londen) : 2	LEXI000000003325	Geert Grote
TDRA000000004452	OXFORD, BL : Marshall 119	LEXI000000003803	Godfried van Wevel
TDRA000000003329	'S-GRAVENHAGE, KB : 133 H 30	LEXI000000003772	Henricus Suso
TDRA000000005980	BURGSTEINFURT, FBS : B 41	LEXI000000003772	Henricus Suso
TDRA000000005799	PARIJS, BA : 8221	LEXI000000004213	Nicolaas van Straatsburg
TDRA000000002747	'S-HEERENBERG, HB : 7	LEXI000000003325	Geert Grote
TDRA000000007603	BOSTON, PL : q. Med. 33	LEXI000000003325	Geert Grote
TDRA000000009148	LOPPEM, BSJC : 85	LEXI000000005823	Otte van Orleien
TDRA000000007617	BRUGGE, GS : 383	LEXI000000004697	Olivier de Langhe
TDRA000000002586	ANTWERPEN, MPM : M. 14.12	LEXI000000003325	Geert Grote
TDRA000000003840	BRUSSEL, KB : 11796	LEXI000000003772	Henricus Suso
TDRA000000003840	BRUSSEL, KB : 11796	LEXI000000003326	Johannes Scutken
TDRA000000003698	BRUSSEL, KB : 3067-73	LEXI000000004090	Beatrijs van Nazareth
TDRA000000003698	BRUSSEL, KB : 3067-73	LEXI000000004218	Gheraert Appelmans
TDRA000000003698	BRUSSEL, KB : 3067-73	LEXI000000003704	Jan van Ruusbroec
TDRA000000003698	BRUSSEL, KB : 3067-73	LEXI000000003805	Meester Eckhart
TDRA000000003698	BRUSSEL, KB : 3067-73	LEXI000000004213	Nicolaas van Straatsburg
TDRA000000003698	BRUSSEL, KB : 3067-73	LEXI000000003316	bijbelvertaler van 1360
TDRA000000004134	BRUSSEL, KB : II 7556	LEXI000000003325	Geert Grote
TDRA000000002237	AMSTERDAM, UB : I G 29	LEXI000000004557	Heinrich von St. Gallen
TDRA000000013299	OLDENBURG, LB : Cim. I 77	LEXI000000003325	Geert Grote
TDRA000000004726	DARMSTADT, HLHB : 193	LEXI000000003772	Henricus Suso
TDRA000000005376	MÜNCHEN, BSB : Cgm 160	LEXI000000003325	Geert Grote
TDRA000000003539	'S-GRAVENHAGE, KB : 133 E 1	LEXI000000004327	Jan Brugman
TDRA000000009029	TONDEUR & SAUBERLICH (Leipzig) : Cat. 20 (1925) nr. 260	LEXI000000003325	Geert Grote
TDRA000000003510	'S-GRAVENHAGE, KB : 133 F 17	LEXI000000003781	Dirc van Delf
TDRA000000003510	'S-GRAVENHAGE, KB : 133 F 17	LEXI000000002374	Jacobus van Gruitrode
TDRA000000003510	'S-GRAVENHAGE, KB : 133 F 17	LEXI000000003704	Jan van Ruusbroec
TDRA000000011882	Olim SOTHEBY'S (Londen) : Cat. 1984-07-03, nr.89	LEXI000000003325	Geert Grote
TDRA000000006440	BRUSSEL, KB : 15659-61	LEXI000000003943	Augustijnken
TDRA000000006440	BRUSSEL, KB : 15659-61	LEXI000000003697	Jan van Boendale
TDRA000000006440	BRUSSEL, KB : 15659-61	LEXI000000003748	Willem van Hildegaersberch
TDRA000000002154	GREIFSWALD, UB : Theol. Oct. 8	LEXI000000003325	Geert Grote
TDRA000000005377	MÜNCHEN, BSB : Cgm 161	LEXI000000003325	Geert Grote
TDRA000000013267	EDINBURGH, NLS : Adv. 18 8 9	LEXI000000003348	Bernardus van Clairvaux
