id	signatuur	kopiist
TDRA000000003686	BRUSSEL, KB : 3026-30	Kopiiste van BRUSSEL, KB : 3026-30
TDRA000000003679	BRUSSEL, KB : 2992-93	Henrick Herst
TDRA000000002229	AMSTERDAM, UB : I E 27	Johannes Lieshout
TDRA000000002836	PARIJS, BN : Néerl. 40	Katrine
TDRA000000009036	STOCKHOLM, NM : B 1646	Johannes de Malborch
TDRA000000004260	WEERT, GM : CMW 33	Katheline Govaerst
TDRA000000005142	AMSTERDAM, UB : XV E 21	Suster Mouwersdr
TDRA000000001331	LEIDEN, UB : LTK 299	Kopiist van LEIDEN, UB : LTK 299
TDRA000000010200	AMSTERDAM, UB : VIII D 4	Elisabeth Godefridi
TDRA000000001696	BRUSSEL, KB : IV 195	een onbekende man
TDRA000000000359	NIJMEGEN, UB : 310	zuster Belie Hermens
TDRA000000000371	NIJMEGEN, UB : 323	zuster Truken Collaers
TDRA000000005948	'S-GRAVENHAGE, KB : 77 L 45	Johannes de Malborch
TDRA000000016075	Olim LAMBIN (Ieper) : Cat. 1841, nr. 17	Marie Smeyers
TDRA000000015568	INNSBRUCK, UB : s.o.	Jean Bourdichon
TDRA000000003849	BRUSSEL, KB : 12078	broeder Arnoldus
TDRA000000014474	BERLIJN, KK : Cim. 25	Griet Vogels
TDRA000000004129	BRUSSEL, KB : II 4945	Suster Petronelle Bertholmees
TDRA000000005394	MÜNCHEN, BSB : Cgm 5204	Zesde kopiiste van Maaseik
TDRA000000001496	LEIDEN, UB : LTK 1985	Gerijt Borwetzn
TDRA000000004263	WEERT, GM : CMW 2	een onbekende man
TDRA000000004511	OXFORD, BL : Douce 219-220	Nicolaas Spierinck
TDRA000000001326	LEIDEN, UB : LTK 294	Wijburch Gherijtsdr
TDRA000000007794	BRUSSEL, KB : IV 261 (1)	zuster Lijsken Nays
TDRA000000009961	BALTIMORE, JHU : Milton Eisenhower Library 186, 016	S. M. van H.
TDRA000000005222	'S-GRAVENHAGE, KB : 74 F 2	Gherijt Janszn
TDRA000000010834	'S-GRAVENHAGE, KB : 133 D 11	Franciscus Verheyden
TDRA000000005746	LUIK, UB : Wittert 42	Aert Denijs
TDRA000000004316	CAMBRIDGE, FM : McClean 99	Geertrudt van Doetinchem Engbertsdr
TDRA000000014878	Olim CYVERT : Cat. 1808, nr. 82	Sigismondus de Sigismondis
TDRA000000014134	DARMSTADT, HLHB : 80	Hermann Grefgen
TDRA000000016284	MULDER (Linden) : Hs. 4	Dezelfde kopiist als die van handschrift MULDER (Linde) : Hs. 10
TDRA000000006040	Olim LEUVEN, UB : D 380 (verloren)	Christianus Longus
TDRA000000009561	AMSTERDAM, BPH : BPH 193	Antonius van Damme
TDRA000000009575	BERLIJN, SBB-PK : Theol. Lat. Qu. 213	Henricus Iunghel de Nidda
TDRA000000006646	BRUSSEL, KB : 9798	Arnoldus Bronce
TDRA000000003500	'S-GRAVENHAGE, KB : 73 F 28	Vijfde kopiiste van Maaseik
TDRA000000007982	BRUSSEL, KB : IV 1140	Johanna Matthysdr
